Word,Exclude?,Occurrences,ClassNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
killing,N,12,1,N,N,N,N,N,N,N,N,N,N,Y
mainspring,N,12,1,Y,N,N,N,N,N,N,N,N,N,N
missing,N,12,1,N,N,N,Y,N,N,N,N,N,N,N
outbuilding,?,12,1,Y,N,N,N,N,N,N,N,N,N,N
posturing,N,12,1,Y,Y,N,N,N,N,N,N,N,N,N
rigging,N,12,1,N,Y,N,N,N,N,N,N,N,N,N
vaulting,N,12,1,N,Y,N,N,N,N,N,N,N,N,N
believing,N,11,1,N,Y,N,N,N,N,N,N,N,N,N
changeling,Y,11,1,Y,N,N,N,N,N,N,N,N,N,N
electioneering,N,11,1,N,Y,N,N,N,N,N,N,N,N,N
planking,N,11,1,N,Y,N,N,N,N,N,N,N,N,N
rowing,N,11,1,N,Y,N,N,N,N,N,N,N,N,N
safekeeping,?,11,1,N,Y,N,N,N,N,N,N,N,N,N
shoestring,Y,11,1,Y,N,Y,N,N,N,Y,N,N,N,N
surveying,N,11,1,N,Y,N,N,N,N,N,N,N,N,N
earthling,Y,10,1,Y,N,N,N,N,N,N,N,Y,N,N
edging,N,10,1,Y,Y,N,N,N,N,N,N,N,N,N
nestling,N,10,1,Y,N,N,N,N,N,N,N,N,N,N
play-acting,?,10,1,N,Y,N,N,N,N,N,N,N,N,N
rock-climbing,?,10,1,N,Y,N,N,N,N,N,N,N,N,N
shading,N,10,1,Y,Y,N,N,N,N,N,N,N,N,N
shelving,N,10,1,N,Y,N,N,N,N,N,N,N,N,N
sighting,N,10,1,Y,N,N,N,N,N,N,N,N,N,N
speeding,N,10,1,N,Y,N,N,N,N,N,N,N,N,N
surfing,N,10,1,N,Y,N,N,N,N,N,N,N,N,N
towelling,N,10,1,N,Y,N,N,N,N,N,N,N,N,N
undertaking,N,10,1,Y,Y,N,N,N,N,N,N,N,N,N
zing,Y,10,1,N,Y,N,N,N,N,N,N,N,N,N
codling,N,9,1,Y,N,N,N,N,N,N,N,N,N,N
foundling,N,9,1,Y,N,N,N,N,N,N,N,N,N,N
gelding,N,9,1,Y,N,N,N,N,N,N,N,N,N,N
haymaking,?,9,1,N,Y,N,N,N,N,N,N,N,N,N
kindling,N,9,1,N,Y,N,N,N,N,N,N,N,N,N
licking,N,9,1,Y,N,N,N,N,N,N,N,N,N,N
logrolling,?,9,1,N,Y,N,N,N,N,N,N,N,N,N
proceeding,N,9,1,Y,Y,N,N,N,N,N,N,N,N,N
Riesling,Y,9,1,Y,Y,N,N,N,N,N,N,N,N,N
shoplifting,N,9,1,N,Y,N,N,N,N,N,N,N,N,N
woodworking,?,9,1,N,Y,N,N,N,N,N,N,N,N,N
drawstring,Y,8,1,Y,N,N,N,N,N,N,N,N,N,N
ducking,N,8,1,Y,N,N,N,N,N,N,N,N,N,N
jotting,N,8,1,Y,N,N,N,N,N,N,N,N,N,N
lashing,N,8,1,Y,N,N,N,N,N,N,N,N,N,N
plating,N,8,1,N,Y,N,N,N,N,N,N,N,N,N
politicking,N,8,1,Y,Y,N,N,N,N,N,N,N,N,N
stocktaking,?,8,1,N,Y,N,N,N,N,N,N,N,N,N
thanksgiving,N,8,1,Y,Y,N,N,N,N,N,N,N,N,N
trucking,N,8,1,N,Y,N,N,N,N,N,N,N,N,N
upswing,N,8,1,Y,N,N,N,N,N,N,N,N,N,N
wrongdoing,N,8,1,Y,Y,N,N,N,N,N,N,N,N,N
ball-bearing,N,7,1,Y,N,N,N,N,N,N,N,N,N,N
barracking,N,7,1,N,Y,N,N,N,N,N,N,N,N,N
coupling,N,7,1,Y,Y,N,N,N,N,N,N,N,N,N
dairying,N,7,1,N,Y,N,N,N,N,N,N,N,N,N
double-dealing,N,7,1,N,Y,N,N,N,N,N,N,N,N,N
dressmaking,?,7,1,N,Y,N,N,N,N,N,N,N,N,N
flooring,N,7,1,N,Y,N,N,N,N,N,N,N,N,N
frosting,N,7,1,N,Y,N,N,N,N,N,N,N,N,N
hireling,N,7,1,Y,N,N,N,N,N,N,N,Y,N,N
lading,N,7,1,N,Y,N,N,N,N,N,N,N,N,N
lemming,N,7,1,Y,N,N,N,N,N,N,N,N,N,N
tracing,N,7,1,Y,N,N,N,N,N,N,N,N,N,N
belting,N,6,1,N,Y,N,N,N,N,N,N,N,N,N
coaxing,N,6,1,Y,Y,N,N,N,N,N,N,N,N,N
coping,N,6,1,Y,N,N,N,N,N,N,N,N,N,N
flag-waving,?,6,1,N,Y,N,N,N,N,N,N,N,N,N
gloaming,Y,6,1,N,N,Y,N,N,N,N,N,N,N,N
lagging,N,6,1,N,Y,N,N,N,N,N,N,N,N,N
merrymaking,N,6,1,N,Y,N,N,N,N,N,N,N,N,N
paling,N,6,1,Y,Y,N,N,N,N,N,N,N,N,N
ticking,N,6,1,N,Y,N,N,N,N,N,N,N,N,N
wheeling,N,6,1,N,N,N,N,N,N,N,N,N,N,Y
fly-fishing,N,5,1,N,Y,N,N,N,N,N,N,N,N,N
gas-ring,Y,5,1,Y,N,N,N,N,N,N,N,N,N,N
lady-in-waiting,Y,5,1,Y,N,N,N,N,N,N,N,N,N,N
muckraking,N,5,1,N,Y,N,N,N,N,N,N,N,N,N
